title,company,link,description,location,date_added,job_type,salary,apply_text,status,date_posted
AI Developer,Eliassen Group,https://www.dice.com/job-detail/f3434981-7a59-4f1c-85be-61474ac73b61,"Description: We are seeking a mid-to-senior level AI Developer to join a dynamic, fully remote team focused on building cutting-edge AI-driven applications. This role requires all the capabilities of a Python-based Fullstack Developer, plus deep, hands-on experience with Large Language Models (LLMs)-particularly Azure OpenAI (preferred), OpenAI, or HuggingFace. The ideal candidate will also bring working knowledge of agentic frameworks such as Langchain, CrewAI, or Langgraph, and experience wit",Remote,2025-05-16,Contract,USD 65.00 - 80.00 per hour,Apply Now,Pending,Today
Lead Data Engineer,ADPMN Inc,https://www.dice.com/job-detail/d9fa91d3-0c00-4f10-aa7a-8d24ef87ef10,"Job title :: Lead Data Engineer/AI Implementation Lead (ONLY W2) Location ::Remote Duration :: 6 Months Contract to Hire Position Overview: The AI Implementation Lead is responsible for overseeing the end-to-end implementation of AI projects within the organization. This role involves managing project lifecycles, collaborating with technical and business stakeholders, and ensuring that AI solutions are scalable, efficient, and aligned with enterprise goals. The AI Implementation Lead will play a","Atlanta, Georgia",2025-05-16,Contract,,Apply Now,Pending,2d ago
ML Engineer,Kforce Technology Staffing,https://www.dice.com/job-detail/636f9ee1-a7b9-45e9-81ef-e7611e9d2091,RESPONSIBILITIES: Kforce has a client seeking a fully remote ML Engineer to join their team. Summary: The ML Engineer will be building the infrastructure and platforms for LLM's as well as designing chat bots and augmenting the search bar. They will also be working heavily with vector stores as well as building pipelines. These LLM's are still in beta phase but are expected to heavily augment the search bar and add new features to the chatbots. A lot of the work will also be considered -prompt e,"Remote or Atlanta, Georgia",2025-05-19 00:00:00,Contract,$40 - $50 hourly,Apply Now,Pending,Today
Data Engineer,Kforce Technology Staffing,https://www.dice.com/job-detail/a73ddc74-b5d9-46f0-8cb4-8cd933d5970d,"RESPONSIBILITIES: Kforce has a client in Westlake, TX that is seeking a Data Engineer. Responsibilities: * The Data Engineer will design, develop, and maintain data pipelines and reporting solutions using Power BI and Snowflake * Collaborate with architects, analysts, and product owners to deliver business value through data * Perform data modeling, data analysis, and data transformation in a data warehouse environment * Ensure QA readiness of deliverables through unit testing, automation, and","Westlake, Texas",2025-05-19 00:00:00,Contract,$61 - $71 hourly,Apply Now,Pending,Yesterday
Data Engineer,Kforce Technology Staffing,https://www.dice.com/job-detail/e26d1eac-5a84-455b-8d4b-cb44ce377753,"RESPONSIBILITIES: Kforce has a client that is seeking a Data Engineer in Westlake, TX. Responsibilities: * Data Engineer will design and develop data lake, data warehouse, and reporting solutions to support business needs * Build and optimize ETL/ELT pipelines for structured and semi-structured data * Collaborate with stakeholders to understand data requirements and translate them into scalable solutions * Work with cloud platforms (preferably AWS) and database technologies including Snowflake","Westlake, Texas",2025-05-16 00:00:00,Contract,$65 - $75 hourly,Apply Now,Pending,Today
Lead Data Engineer,ADPMN Inc,https://www.dice.com/job-detail/d9fa91d3-0c00-4f10-aa7a-8d24ef87ef10,"Job title :: Lead Data Engineer/AI Implementation Lead (ONLY W2) Location ::Remote Duration :: 6 Months Contract to Hire Position Overview: The AI Implementation Lead is responsible for overseeing the end-to-end implementation of AI projects within the organization. This role involves managing project lifecycles, collaborating with technical and business stakeholders, and ensuring that AI solutions are scalable, efficient, and aligned with enterprise goals. The AI Implementation Lead will play a","Atlanta, Georgia",2025-05-16,Contract,,Apply Now,Pending,Yesterday
Data Scientist,Kforce Technology Staffing,https://www.dice.com/job-detail/4f0bade8-e11a-4218-84b4-bfa6966a4c68,"RESPONSIBILITIES: Kforce has a client in Palm Beach Gardens, FL that is seeking a Data Scientist. Job Description: We are seeking a highly motivated and detail-oriented Junior Data Scientist to join our growing data science team. As a Junior Data Scientist, you will be responsible for assisting with data preparation, analysis, and the development of predictive models to solve complex business problems. This is an excellent opportunity for entry level candidates or professionals with limited ex","Palm Beach Gardens, Florida",2025-05-16,Contract,$45 - $55 hourly,Apply Now,Pending,Today
LLM/LangChain/LlamaIndex/RAG,Kforce Technology Staffing,https://www.dice.com/job-detail/c60cddd6-094e-43bd-b219-9562b90bb161,"RESPONSIBILITIES: Kforce has a client that is seeking a LM/LangChain/LlamaIndex/RAG in Merrimack, NH. Summary: The client is looking for a Software Engineer with strong programming fundamentals, software design and practices to help build and manage our cloud platform. In this role, you will have a great opportunity to marry your full-stack software engineering skills with hands on cloud development. Come join our talented team of engineers, designing and building the foundation that propels ou","Merrimack, New Hampshire",2025-05-16,Contract,$68 - $78 hourly,Apply Now,Pending,Today
Senior Business Data Analyst,Kforce Technology Staffing,https://www.dice.com/job-detail/a980fb88-a1a5-4c09-97f1-d948b2ea6304,"RESPONSIBILITIES: Kforce has a client in Altamonte Springs, FL that is looking for a Senior Business Data Analyst that has experience working with SQL and extracting data. This person will be responsible for gathering requirements, sharing user stories, and sharing patterns/trends on what the team is seeing within the data. Key Tasks: * Senior Business Data Analyst will gather, interpret, and analyze business data from multiple sources * Develop and maintain databases, data systems, and data an","Altamonte Springs, Florida",2025-05-16 00:00:00,Contract,$45 - $53 hourly,Apply Now,Pending,Today
Data Analyst (Mid),Kforce Technology Staffing,https://www.dice.com/job-detail/e2b0ce11-ee87-4fe0-be15-a19edc3b6d3c,"RESPONSIBILITIES: Kforce has a client that is seeking a Data Analyst (Mid) McLean, VA. Duties: * Data Analyst (Mid) will conduct data analysis and prepare actionable insights for internal and external stakeholders * Manages data compilation, cataloging, and retrieval processes * As a Data Analyst (Mid), you will support ad hoc analytical projects and client inquiries with precision * Collaborates with stakeholders to align analytical solutions with client requirements REQUIREMENTS: * UAM (User","Remote or McLean, Virginia",2025-05-19 00:00:00,Contract,$46.75 - $63.25 hourly,Apply Now,Pending,Today
Data Engineer,Kforce Technology Staffing,https://www.dice.com/job-detail/f25cfcce-79d1-4c77-9b31-9e2377bdc6b2,"RESPONSIBILITIES: Kforce has a client that is seeking a Data Engineer in Westlake, TX. Responsibilities: * Accountable for consistent delivery of functional software - sprint to sprint, release to release * Precision in software development practices and procedures * Data Engineer will participate in application-level architecture and ability to drive the solution * Develop original and creative technical solutions to ongoing development efforts * Responsible for QA readiness of software work y","Westlake, Texas",2025-05-21 00:00:00,Contract,$61 - $71 hourly,Apply Now,Pending,Today
Data Engineer,Kforce Technology Staffing,https://www.dice.com/job-detail/a73ddc74-b5d9-46f0-8cb4-8cd933d5970d,"RESPONSIBILITIES: Kforce has a client in Westlake, TX that is seeking a Data Engineer. Responsibilities: * The Data Engineer will design, develop, and maintain data pipelines and reporting solutions using Power BI and Snowflake * Collaborate with architects, analysts, and product owners to deliver business value through data * Perform data modeling, data analysis, and data transformation in a data warehouse environment * Ensure QA readiness of deliverables through unit testing, automation, and","Westlake, Texas",2025-05-16 00:00:00,Contract,$61 - $71 hourly,Apply Now,Pending,Today
Data Analyst,Kforce Technology Staffing,https://www.dice.com/job-detail/8ca670fd-3ffc-4698-90ad-d793684c75b9,"RESPONSIBILITIES: Kforce has an enterprise client that is seeking a Data Analyst in North Reading, MA. Summary: This is an opportunity to be involved in a top-of-mind topic in the global supply chain workspace. A rare opportunity to be a part of the ever-changing landscape with all the new tariffs in place. This is an interesting role for someone looking to be on the ground floor in creating information in real-time. Responsibilities: * Data Analyst will support effective decision-making throu","North Reading, Massachusetts",2025-05-21 00:00:00,Contract,$34 - $38 hourly,Apply Now,Pending,Today
"Intern - Data Science, Generation",Berkshire Hathaway Energy,https://www.dice.com/job-detail/456d4dbc-9d34-4620-86cf-631a34b6fc16,"Job Description MidAmerican Energy Company is seeking a student pursuing a bachelor's degree or higher in data science, economics, statistics, business analytics, or related field of study, graduating later than August 2025. The position is temporary, nonexempt, and full-time/hourly through the summer. Company and Internship Program Overview MidAmerican Energy Company one of the largest renewable energy producers in the U.S is headquartered in Des Moines, Iowa, safely meeting the energy needs","Council Bluffs, Iowa",2025-05-20 00:00:00,Part-time,,Apply Now,Pending,Today
Big Data Engineer,Software Guidance & Assistance,https://www.dice.com/job-detail/c50216f6-3080-4c8e-ae9a-026b50e671ed,"Software Guidance & Assistance, Inc., (SGA), is searching for a Big Data Engineer (Python/Spark/AWS) for a Contract assignment with one of our premier Regulatory clients in Rockville, MD. This role is hybrid (2 days/week Onsite) We are seeking a Big Data Engineer to lead the design, develop, and maintain scalable data pipelines and infrastructure to support our market regulation technology applications. You will play a key role in modernizing existing data pipelines, enabling downstream use","Rockville, Maryland",2025-05-16,Contract,USD 70.00 - 84.00 per hour,Apply Now,Pending,Today
Bioinformatics/AI Scientist - Oncology,Software Guidance & Assistance,https://www.dice.com/job-detail/01619f9e-f833-4572-9089-cb6141a7eaf5,"Software Guidance & Assistance, Inc., (SGA), is searching for a Bioinformatics/AI Scientist - Oncology for a contract assignment with one of our premier Pharmaceutical services clients in South San Francisco, CA. Responsibilities : Oncology teams in the Computational Biology and Translation Pillar of the firm Computational Sciences are seeking a talented and highly motivated Computational Scientist with a strong analytical background in Bioinformatics and ML/AI. The successful candidate will","South San Francisco, California",2025-05-16,Contract,,Apply Now,Pending,Today
Gen AI / ML Application Testing Engineer (BA + QA),ADPMN Inc,https://www.dice.com/job-detail/d0cd90c5-e197-49ad-b924-cd2dfd67035b,"Job Title :: Gen AI / ML Application Testing Engineer (BA + QA) Location :: San Jose, CA- Hybrid- Tue,Wed and Thu (ONLY LOCALS) Duration :: Long Term Role Summary :: We are looking for a detail-oriented engineer with experience in Gen AI / ML application testing, business analysis, and product validation. You will help shape the quality of next-gen AI products through systematic testing, prompt validation, and tool-driven evaluation. Key Responsibilities :: Design and execute test cases for Gen","San Jose, California",2025-05-16,Third Party,,Apply Now,Pending,Yesterday
Summer College Intern-IT Data Scientist,City of New York,https://www.dice.com/job-detail/e5173da4-d659-468a-8b80-1f35848d7888,"Company Description Job Description The New York City Department of Correction (DOC) is an integral part of the City's evolving criminal justice system, participating in reform initiatives and strategies aimed to move the City towards a smaller jail system without compromising public safety. The DOC is responsible for maintaining a safe and secure environment for our employees, visitors, volunteers, and people in our custody. Importantly, safe jails enable DOC to provide people in custody with","Queens, New York",2025-05-18 00:00:00,Part-time,,Apply Now,Pending,Today
Data Scientist II,Kforce Technology Staffing,https://www.dice.com/job-detail/2403043b-40fe-4c6a-860d-bc7c070b9343,"RESPONSIBILITIES: Kforce has a client in Altamonte Springs, FL that is seeking a Data Scientist II. Responsibilities: * Serve as the organization-wide specialist on Data Science methods, including data mining, statistical analysis, data processing/cleaning/verifying, and modeling/prediction * Apply Data Science methods such as applied statistics, machine learning, decision trees, support vector machines, etc., to drive cost, revenue, and outcomes * Participate in and lead Data Science projects","Altamonte Springs, Florida",2025-05-16,"Third Party, Contract",$50 - $55 hourly,Apply Now,Pending,Today
Data Scientist,Randstad - Torc,https://www.dice.com/job-detail/6ee2d1fa-a9c5-47e5-9c5c-48ff4d7cef50,"We re looking for a skilled Data Scientist for a full-time contract. This is a remote role with the flexibility to collaborate across all hours in Central Time (CT). What You ll Do Build and Deploy Data Models: Develop and implement machine learning and statistical models to extract insights and drive decision-making.Data Analysis & Visualization: Analyze large datasets and present findings through dashboards, reports, and visualizations using tools like Tableau, Power BI, or Matplotlib.Feature",Remote,2025-05-16 00:00:00,Contract,Depends on Experience,Apply Now,Pending,Today
Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | Fall 2025 | Hybrid),AMD (Advanced Micro Devices),https://www.dice.com/job-detail/738ca3ab-60d7-47f0-b889-0d4cb9edb3e1,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world's most important challenges. We strive for execution excellen","Remote or San Jose, California",2025-05-16,Part-time,"USD 104,000.00 per year",Apply Now,Pending,Today
Python Developer,Tektend llc,https://www.dice.com/job-detail/59ae2035-cb9c-4d8a-818e-4b0b2ccfdec9,"Job Title: Python Developer Location: Charlotte, NC (Hybrid) Duration: 12+ Months Job Overview: We are seeking a highly skilled Senior Python Engineer / AIML-LLM Engineer to join our innovative AI team. The ideal candidate will possess deep experience in Python development, cloud-native architectures, and deploying Generative AI models at scale. You will work on cutting-edge projects involving LLMs such as LLaMA, Mistral, and other foundation models, contributing to real-time data streaming, mod","Charlotte, North Carolina",2025-05-16,Contract,,Apply Now,Pending,Today
Research Engineering Intern/Co-Op (Graduate | Fall 2025 | Hybrid),AMD (Advanced Micro Devices),https://www.dice.com/job-detail/57b248a9-ab44-4acc-8538-0c754b3ba054,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world's most important challenges. We strive for execution excellen","Remote or San Jose, California",2025-05-16,Part-time,"USD 104,000.00 per year",Apply Now,Pending,Today
Senior Data Scientist AI/ML/LLM Applications || Hybrid || LGL Technologies,LGL Technologies,https://www.dice.com/job-detail/f476e32d-630a-40b2-ae46-f5136e9062a7,"Title: Senior Data Scientist AI/ML/LLM Applications Location: Arlington, VA Mide: Hybrid Duration: Long Term Overview: Are you a data science professional looking for a long-term role in an enterprise-grade environment that truly values innovation? We're hiring Senior Data Scientists with AI/ML expertise for ongoing client initiatives. What You'll Be Doing: Lead end-to-end development of ML pipelines: from data sourcing, cleaning, and model development to testing, tuning, and deployment Apply","Arlington, Virginia",2025-05-16,Contract,,Apply Now,Pending,Today
Data Engineer,Kforce Technology Staffing,https://www.dice.com/job-detail/4dfc9976-4228-4ba4-aef7-910eb1993d14,"RESPONSIBILITIES: Kforce has a client that is seeking a Data Engineer in Greenwood Village, CO. Overview: We are seeking an experienced Data Engineer/Data Scientist to join a dynamic team focused on optimizing mobile and public Wi-Fi hotspot networks. This role is hands-on with a strong emphasis on data engineering, though there will also be opportunities to engage in data science tasks. The successful candidate will be responsible for managing and optimizing data pipelines, structuring large d","Greenwood Village, Colorado",2025-05-16,Contract,$66.45 - $73.65 hourly,Apply Now,Pending,Today
Senior Data Scientist,Kforce Technology Staffing,https://www.dice.com/job-detail/c6897f80-b570-46e3-8be5-40961882f127,"RESPONSIBILITIES: Kforce has a client that is seeking an experienced Senior Data Scientist to join our Data Science and AI team. Summary: In this role, the Senior Data Scientist will help transform data into actionable insights, drive business strategy, and develop innovative AI-driven solutions. They will leverage advanced machine learning, statistical techniques, and analytics to solve complex challenges, collaborating with cross-functional teams to design, develop, and deploy scalable models","San Antonio, Texas",2025-05-16,"Contract, Third Party",$60 - $75 hourly,Apply Now,Pending,Today
Senior Data Scientist,Kforce Technology Staffing,https://www.dice.com/job-detail/cb2a6fcd-ec3c-408c-bb0e-acbafda1ac08,"RESPONSIBILITIES: Kforce has a client that is seeking a Senior Data Scientist in Quincy, MA. Summary: This position will involve applying advanced analytics to extract actionable insights from complex datasets, facilitating data-driven decision-making across the organization. The Resource will design and implement predictive models, optimizing business processes through the development of machine learning algorithms. The focus is on delivering measurable outcomes, enhancing productivity, and im","Quincy, Massachusetts",2025-05-16,"Third Party, Contract",$75 - $105 hourly,Apply Now,Pending,Today
Data Engineer,Kforce Technology Staffing,https://www.dice.com/job-detail/11ce00ac-c515-4cb4-916b-0d020387f3e2,"RESPONSIBILITIES: Kforce has a client that is seeking a Data Engineer in Maryland Heights, MO. Overview: We are seeking a highly skilled and motivated Data Engineer to join our growing team. This role will focus on leveraging cutting-edge technologies to design and build scalable data solutions. The ideal candidate will have a strong background in cloud-driven environments, big data frameworks, and real-time data streaming technologies. Key Responsibilities: * Data Engineer will design, develo","Maryland Heights, Missouri",2025-05-16 00:00:00,Contract,$50 - $62 hourly,Apply Now,Pending,Today
Sr. Data Scientist,"Knowledge Management, Inc",https://www.dice.com/job-detail/9c8a9ac5-4ecd-4194-8b1b-1a26cd6928c3,"Knowledge Management, Inc. (KMI) has the leadership and experience to deliver innovative technology, logistics and management solutions to meet real mission requirements. KMI is a Minority Business Enterprise (MBE) and Small Disadvantage Business (SDB) that specializes in Logistics, Warehouse Services, Distance Learning/Training, Enterprise Solutions, Financial Management Support, Program Management, Intelligence Analysis & Threat Assessment, and Data Analytics/Operations Research. Since 1998, o","Albany, Georgia",2025-05-16,Contract,,Apply Now,Pending,Today
Senior GenAI/LLM Engineer,Enexus Global,https://www.dice.com/job-detail/6ba47a94-a2b8-4934-b7c3-44655f8aebdf,"Role - Senior GenAI/LLM Engineer Location - Remote Experience - 12+ Years Tax Term- w2,C2C, 1099 Below is the JD GenAI/LLM Engineer Implementing GenAI requires specialized expertise in large language models. Traditional data scientists often haven't had the opportunity to dive deep into the practical intricacies of LLMs-particularly advanced fine-tuning techniques, model compression strategies, memory optimization approaches, and specialized training workflows. This role requires a hands-on dee","San Francisco, California",2025-05-24 00:00:00,"Third Party, Contract",,Easy Apply,Pending,Yesterday
EV Data Scientist,Enexus Global,https://www.dice.com/job-detail/ab17df59-41fa-40d8-9c1b-2a3b48ab43e0,"Title: EV Data Scientist Location: Remote Exp: 15+ W2 / C2C Skills: Electric Vehicle Job Descripton: Design and develop production-quality scientific algorithms in Python to extract patterns of customer energy consumption, as well as other customers' characteristics and attributes. Develop spatio-temporal algorithms to predict adoption of Electric Vehicles by customers. Perform in-depth validation of our algorithms that is driven by business and technical requirements. Perform deep root-ca",Remote or California,2025-05-24 00:00:00,"Contract, Third Party",,Easy Apply,Pending,Yesterday
Lead Data Analyst,Zenotis Technologies INC,https://www.dice.com/job-detail/a11687cc-5244-47d7-a022-ad68b66c92b3,"Highly motivated Lead Data Analyst with 8+ years of experience in the financial services and wealth management industry. Proven expertise in leveraging data to drive strategic decisions, develop analytical solutions, and translate complex findings into actionable insights. Skilled in data management, advanced analytics, visualization, and stakeholder communication, with strong knowledge of Microsoft Azure/Fabric and preferred data modeling best practices including Data Vault methodology. Key Res","Hybrid in Atlanta, Georgia",2025-05-24 00:00:00,"Contract, Third Party",Depends on Experience,Easy Apply,Pending,Yesterday
Python Developer,Mindlance,https://www.dice.com/job-detail/0524b049-3fea-4ee0-91c4-708236b4cb19,"Position Summary: Title: Developer Standard - Access Control Data Analysis Developer Duration: 4 Months Location: Washington, DC 20433 Access Control Data Analysis Developer with Dashboards and reporting skills We are seeking a highly skilled Access Control Analysis Developer to design, develop, and implement Python programs using API, AI, Scripts to perform access control reviews. Roles & Responsibilities: Develop Python programs to extract, manage, and implement Access Control Lists (ACLs) ac","Hybrid in Washington, District of Columbia",2025-05-24 00:00:00,"Contract, Third Party",Depends on Experience,Easy Apply,Pending,Yesterday
Data Engineer (Databricks),"iTech US, Inc.",https://www.dice.com/job-detail/c0648ff2-7dfd-47ed-86f1-3e2f3a70eeaf,"Job Role : Databricks Engineer/Developer Job Location: New York City, NY 12+ Months Your future duties and responsibilities: The Databricks Developer will be responsible for designing, developing, and maintaining scalable data pipelines and solutions using Databricks. The ideal candidate will have a strong background in data engineering, experience with big data technologies, and a deep understanding of Databricks and Apache Spark. Key Responsibilities: Design and develop scalable data pipeline","New York, New York",2025-05-24 00:00:00,Contract,Depends on Experience,Easy Apply,Pending,2d ago
Gen AI Architect,Octigo Solutions Inc,https://www.dice.com/job-detail/9313da31-b529-4237-bdc0-ec3c4bffe039,"Title: Gen AI Architect Location: Raritan, NJ (Must be onsite from Day 1. Must be in office 3 days a week, more if needed) Experience: 10+ years Job Description: The Gen AI Architect plays a crucial role in shaping and leading the architecture, development, and deployment of next-generation AI applications within the organization. This role is pivotal in driving the company's objectives by leveraging advanced machine learning models, robust data engineering pipelines, and cloud-native infrastr","Raritan, New Jersey",2025-05-24 00:00:00,"Third Party, Contract",Depends on Experience,Easy Apply,Pending,4d ago
Software Engineer( Gen AI Architect),Octigo Solutions Inc,https://www.dice.com/job-detail/ae122b1f-b973-4063-bebb-7612a6d3d301,"The Gen AI Architect plays a crucial role in shaping and leading the architecture, development, and deployment of next-generation AI applications within the organization. This role is pivotal in driving the company's objectives by leveraging advanced machine learning models, robust data engineering pipelines, and cloud-native infrastructure to deliver scalable, high-quality solutions. The architect will be at the forefront of technology innovation, ensuring alignment with strategic goals. DETAI","Raritan, New Jersey",2025-05-24 00:00:00,Contract,$60 - $65,Easy Apply,Pending,4d ago
"Min 15+ Years Exp :: Senior Java Full Stack Architect - Gen AI and NLP, LLM",StratG Inc,https://www.dice.com/job-detail/216db639-5e6b-44cc-926f-2878cfc24e81,"Min 15+ Years Exp Needed Experience in working with and fine-tuning Large Language Models (LLMs), including the design, optimization of NLP systems, frameworks, and tools. Experience in building scalable applications using LLMs, utilizing frameworks such as LangChain, LlamaIndex, etc. Utilize off-the-shelf LLM services, such as Azure OpenAI, to integrate LLM capabilities into applications. Proficiency in Java 17, Spring, SpringBoot Experience with UI development (ReactJS) Excellent problem-solvi","Cary, North Carolina",2025-05-24 00:00:00,"Contract, Third Party",$60 - $70,Easy Apply,Pending,4d ago
AWS Data Engineer,Horizontal Talent,https://www.dice.com/job-detail/8985aa47-c7e0-4a79-984a-15d6ed488bff,"We are seeking experienced AWS Data Engineers to join our dynamic team and support a transformative digital project. This role offers the opportunity to work with cutting-edge technologies in a collaborative environment. Responsibilities Design, develop, and maintain scalable data pipelines and ETL solutions using AWS services. Develop and manage data infrastructure, including data lakes, data warehouses, and data marts. Integrate data products with the broader data platform and enable data exch",Remote,2025-05-24 00:00:00,Contract,Depends on Experience,Easy Apply,Pending,4d ago
Data Platform Architect,CA-One Tech Cloud Inc.,https://www.dice.com/job-detail/07a197e9-75aa-4a84-b432-f3c8876ed30d,"Establish data flow patterns across batch, streaming, and ML use casesCreate decision frameworks for Google Cloud Platform technology selectionDevelop reference architectures for real-time analytics and ML model deploymentImplement automated architecture validation in CI/CD pipelinesDesign GitOps workflows for infrastructure and application deploymentsCreate standardized deployment patterns for different workload typesDevelop IAM role assignments based on workload typeCreate internal knowledge b","Dallas, Texas",2025-05-24 00:00:00,Contract,$55 - $60,Easy Apply,Pending,Yesterday
AI/ML with VectorDB,Envision Technology Solutions,https://www.dice.com/job-detail/908c6209-a4fb-49c8-aee7-b6969d435351,"Job Title:- AI/ML with VectorDB Location:- Sunnyvale, CA - 3 days/week Job Type:- Contract On-Site Job Description:- 6+ years of experience as data engineer and snowflake developer along with ML exposure Proficiency in programming languages (Python, Java, or Scala) Proficiency in Tableau Experience with big data technologies like Hadoop, Spark, and Kafka Knowledge of database management systems, both relational (e.g., SQL, PostgreSQL) and non-relational (e.g., MongoDB, Cassandra) Familiarity wit","Sunnyvale, California",2025-05-24 00:00:00,"Full-time, Contract, Third Party",$$65 - $70,Easy Apply,Pending,2d ago
"In Person Interview - Local Candidates Only | Sr. Developer AI & ML (GenAI + AWS) | Atlanta, GA or Minneapolis, MN (Onsite) | Contract",Anagha Techno Soft,https://www.dice.com/job-detail/f4cb4542-2cf3-4979-b9f7-94a5d7a9a2ff,"Job Title: Sr. Developer AI & ML (GenAI + AWS) Location: Atlanta, GA or Minneapolis, MN (Onsite) Local Candidates Only - In Person Interview Employment Type: Contract Job Description:We are seeking a Sr. Developer AI & ML with deep expertise in building and deploying Generative AI solutions on AWS. This is a hands-on development role that requires end-to-end experience in the AI/ML lifecycle, from model design and training to deployment and monitoring in production environments. The ideal candid","Atlanta, Georgia",2025-05-24 00:00:00,Contract,Depends on Experience,Easy Apply,Pending,3d ago
